Time (s),Timestamp,ECG (uV),Packet Counter(DIGITAL),TRIGGER(DIGITAL)
3416.932,2025-12-16 10:33:04.723,-11411.857775,96,0
3416.934,2025-12-16 10:33:04.725,-14202.881071,97,0
3416.936,2025-12-16 10:33:04.727,-15044.975505,98,0
3416.938,2025-12-16 10:33:04.729,-13863.373009,99,0
3416.94,2025-12-16 10:33:04.731,-9724.426414,100,0
3416.942,2025-12-16 10:33:04.733,-11692.238028,101,0
3416.944,2025-12-16 10:33:04.735,-13910.484521,102,0
3416.946,2025-12-16 10:33:04.737,-13018.608287,103,0
3416.948,2025-12-16 10:33:04.739,-9628.296042,104,0
3416.95,2025-12-16 10:33:04.741,-13065.910534,105,0
3416.952,2025-12-16 10:33:04.743,-14871.216042,106,0
3416.954,2025-12-16 10:33:04.745,-14166.259977,107,0
3416.956,2025-12-16 10:33:04.747,-11565.590077,108,0
3416.958,2025-12-16 10:33:04.749,-13721.275534,109,0
3416.96,2025-12-16 10:33:04.751,-14615.631321,110,0
3416.962,2025-12-16 10:33:04.753,-13223.076064,111,0
3416.964,2025-12-16 10:33:04.755,-8715.057503,112,0
3416.966,2025-12-16 10:33:04.757,-11587.333852,113,0
3416.968,2025-12-16 10:33:04.759,-14188.385221,114,0
3416.97,2025-12-16 10:33:04.761,-13745.117392,115,0
3416.972,2025-12-16 10:33:04.763,-11500.168018,116,0
3416.974,2025-12-16 10:33:04.765,-14243.316863,117,0
3416.976,2025-12-16 10:33:04.767,-15056.801067,118,0
3416.978,2025-12-16 10:33:04.769,-13873.672692,119,0
3416.98,2025-12-16 10:33:04.771,-9771.919396,120,0
3416.982,2025-12-16 10:33:04.773,-11765.480217,121,0
3416.984,2025-12-16 10:33:04.775,-13949.012964,122,0
3416.986,2025-12-16 10:33:04.777,-13069.534497,123,0
3416.988,2025-12-16 10:33:04.779,-9811.210779,124,0
3416.99,2025-12-16 10:33:04.781,-13224.983412,125,0
3416.992,2025-12-16 10:33:04.783,-14928.627237,126,0
3416.994,2025-12-16 10:33:04.785,-14221.382353,127,0
3416.996,2025-12-16 10:33:04.787,-11694.336112,0,0
3416.998,2025-12-16 10:33:04.789,-13823.700157,1,0
3417.0,2025-12-16 10:33:04.791,-14641.189793,2,0
3417.002,2025-12-16 10:33:04.793,-13261.223037,3,0
3417.004,2025-12-16 10:33:04.795,-8862.495554,4,0
3417.006,2025-12-16 10:33:04.797,-11757.278618,5,0
3417.008,2025-12-16 10:33:04.799,-14270.401214,6,0
3417.01,2025-12-16 10:33:04.801,-13831.520287,7,0
3417.012,2025-12-16 10:33:04.803,-11732.67382,8,0
3417.014,2025-12-16 10:33:04.805,-14418.03,9,0
3417.016,2025-12-16 10:33:04.807,-15102.768169,10,0
3417.018,2025-12-16 10:33:04.809,-13911.438196,11,0
3417.02,2025-12-16 10:33:04.811,-9865.379481,12,0
3417.022,2025-12-16 10:33:04.813,-11898.803888,13,0
3417.024,2025-12-16 10:33:04.815,-14007.187098,14,0
3417.026,2025-12-16 10:33:04.817,-13146.972852,15,0
3417.028,2025-12-16 10:33:04.819,-10011.863858,16,0
3417.03,2025-12-16 10:33:04.821,-13390.350541,17,0
3417.032,2025-12-16 10:33:04.823,-14985.656962,18,0
3417.034,2025-12-16 10:33:04.825,-14265.442107,19,0
3417.036,2025-12-16 10:33:04.827,-11796.760735,20,0
3417.038,2025-12-16 10:33:04.829,-13893.509118,21,0
3417.04,2025-12-16 10:33:04.831,-14645.195226,22,0
3417.042,2025-12-16 10:33:04.833,-13251.877029,23,0
3417.044,2025-12-16 10:33:04.835,-8876.228465,24,0
3417.046,2025-12-16 10:33:04.837,-11800.766167,25,0
3417.048,2025-12-16 10:33:04.839,-14294.433807,26,0
3417.05,2025-12-16 10:33:04.841,-13838.005272,27,0
3417.052,2025-12-16 10:33:04.843,-11723.327811,28,0
3417.054,2025-12-16 10:33:04.845,-14383.697724,29,0
3417.056,2025-12-16 10:33:04.847,-15069.389568,30,0
3417.058,2025-12-16 10:33:04.849,-13847.351281,31,0
3417.06,2025-12-16 10:33:04.851,-9685.897971,32,0
3417.062,2025-12-16 10:33:04.853,-11719.322379,33,0
3417.064,2025-12-16 10:33:04.855,-13925.552576,34,0
3417.066,2025-12-16 10:33:04.857,-13077.545361,35,0
3417.068,2025-12-16 10:33:04.859,-9861.755518,36,0
3417.07,2025-12-16 10:33:04.861,-13264.846999,37,0
3417.072,2025-12-16 10:33:04.863,-14926.338418,38,0
3417.074,2025-12-16 10:33:04.865,-14184.189054,39,0
3417.076,2025-12-16 10:33:04.867,-11494.827442,40,0
3417.078,2025-12-16 10:33:04.869,-13601.684773,41,0
3417.08,2025-12-16 10:33:04.871,-14551.925876,42,0
3417.082,2025-12-16 10:33:04.873,-13160.133558,43,0
3417.084,2025-12-16 10:33:04.875,-8691.02491,44,0
3417.086,2025-12-16 10:33:04.877,-11651.802237,45,0
3417.088,2025-12-16 10:33:04.879,-14245.033476,46,0
3417.09,2025-12-16 10:33:04.881,-13785.743919,47,0
3417.092,2025-12-16 10:33:04.883,-11528.396778,48,0
3417.094,2025-12-16 10:33:04.885,-14225.95999,49,0
3417.096,2025-12-16 10:33:04.887,-15014.267192,50,0
3417.098,2025-12-16 10:33:04.889,-13770.10366,51,0
3417.1,2025-12-16 10:33:04.891,-9458.160541,52,0
3417.102,2025-12-16 10:33:04.893,-11487.770252,53,0
3417.104,2025-12-16 10:33:04.895,-13853.454796,54,0
3417.106,2025-12-16 10:33:04.897,-13053.703503,55,0
3417.108,2025-12-16 10:33:04.899,-9839.248804,56,0
3417.11,2025-12-16 10:33:04.901,-13249.778945,57,0
3417.112,2025-12-16 10:33:04.903,-14917.183145,58,0
3417.114,2025-12-16 10:33:04.905,-14162.254545,59,0
3417.116,2025-12-16 10:33:04.907,-11378.860643,60,0
3417.118,2025-12-16 10:33:04.909,-13487.434588,61,0
3417.12,2025-12-16 10:33:04.911,-14515.114047,62,0
3417.122,2025-12-16 10:33:04.913,-13126.945691,63,0
3417.124,2025-12-16 10:33:04.915,-8648.109565,64,0
3417.126,2025-12-16 10:33:04.917,-11648.750479,65,0
3417.128,2025-12-16 10:33:04.919,-14258.194182,66,0
3417.13,2025-12-16 10:33:04.921,-13802.147117,67,0
3417.132,2025-12-16 10:33:04.923,-11554.527455,68,0
3417.134,2025-12-16 10:33:04.925,-14242.744658,69,0
3417.136,2025-12-16 10:33:04.927,-15010.261759,70,0
3417.138,2025-12-16 10:33:04.929,-13750.839438,71,0
3417.14,2025-12-16 10:33:04.931,-9399.032733,72,0
3417.142,2025-12-16 10:33:04.933,-11463.546924,73,0
3417.144,2025-12-16 10:33:04.935,-13859.367577,74,0
3417.146,2025-12-16 10:33:04.937,-13077.926831,75,0
3417.148,2025-12-16 10:33:04.939,-9915.733485,76,0
3417.15,2025-12-16 10:33:04.941,-13314.438065,77,0
3417.152,2025-12-16 10:33:04.943,-14936.828836,78,0
3417.154,2025-12-16 10:33:04.945,-14169.693204,79,0
3417.156,2025-12-16 10:33:04.947,-11354.065111,80,0
3417.158,2025-12-16 10:33:04.949,-13449.09688,81,0
3417.16,2025-12-16 10:33:04.951,-14495.468356,82,0
3417.162,2025-12-16 10:33:04.953,-13118.553357,83,0
3417.164,2025-12-16 10:33:04.955,-8680.725227,84,0
3417.166,2025-12-16 10:33:04.957,-11715.126212,85,0
3417.168,2025-12-16 10:33:04.959,-14297.676299,86,0
3417.17,2025-12-16 10:33:04.961,-13829.803673,87,0
3417.172,2025-12-16 10:33:04.963,-11586.952382,88,0
3417.174,2025-12-16 10:33:04.965,-14251.709197,89,0
3417.176,2025-12-16 10:33:04.967,-15002.632365,90,0
3417.178,2025-12-16 10:33:04.969,-13741.302695,91,0
3417.18,2025-12-16 10:33:04.971,-9410.858295,92,0
3417.182,2025-12-16 10:33:04.973,-11511.421375,93,0
3417.184,2025-12-16 10:33:04.975,-13884.544579,94,0
3417.186,2025-12-16 10:33:04.977,-13127.327161,95,0
3417.188,2025-12-16 10:33:04.979,-10048.103482,96,0
3417.19,2025-12-16 10:33:04.981,-13424.492082,97,0
3417.192,2025-12-16 10:33:04.983,-14980.697855,98,0
3417.194,2025-12-16 10:33:04.985,-14193.916532,99,0
3417.196,2025-12-16 10:33:04.987,-11373.329332,100,0
3417.198,2025-12-16 10:33:04.989,-13455.009661,101,0
3417.2,2025-12-16 10:33:04.991,-14499.473788,102,0
3417.202,2025-12-16 10:33:04.993,-13137.245374,103,0
3417.204,2025-12-16 10:33:04.995,-8758.354318,104,0
3417.206,2025-12-16 10:33:04.997,-11822.319207,105,0
3417.208,2025-12-16 10:33:04.999,-14351.845001,106,0
3417.21,2025-12-16 10:33:05.001,-13881.492822,107,0
3417.212,2025-12-16 10:33:05.003,-11704.44506,108,0
3417.214,2025-12-16 10:33:05.005,-14323.997711,109,0
3417.216,2025-12-16 10:33:05.007,-15014.457926,110,0
3417.218,2025-12-16 10:33:05.009,-13734.05477,111,0
3417.22,2025-12-16 10:33:05.011,-9381.67586,112,0
3417.222,2025-12-16 10:33:05.013,-11482.238941,113,0
3417.224,2025-12-16 10:33:05.015,-13878.441064,114,0
3417.226,2025-12-16 10:33:05.017,-13137.817579,115,0
3417.228,2025-12-16 10:33:05.019,-10088.920744,116,0
3417.23,2025-12-16 10:33:05.021,-13445.472918,117,0
3417.232,2025-12-16 10:33:05.023,-14970.207437,118,0
3417.234,2025-12-16 10:33:05.025,-14167.785856,119,0
3417.236,2025-12-16 10:33:05.027,-11257.171799,120,0
3417.238,2025-12-16 10:33:05.029,-13345.146378,121,0
3417.24,2025-12-16 10:33:05.031,-14452.362276,122,0
3417.242,2025-12-16 10:33:05.033,-13103.485303,123,0
3417.244,2025-12-16 10:33:05.035,-8755.874764,124,0
3417.246,2025-12-16 10:33:05.037,-11856.270013,125,0
3417.248,2025-12-16 10:33:05.039,-14358.902192,126,0
3417.25,2025-12-16 10:33:05.041,-13881.683556,127,0
3417.252,2025-12-16 10:33:05.043,-11685.180838,0,0
3417.254,2025-12-16 10:33:05.045,-14296.150421,1,0
3417.256,2025-12-16 10:33:05.047,-14988.136515,2,0
3417.258,2025-12-16 10:33:05.049,-13693.046774,3,0
3417.26,2025-12-16 10:33:05.051,-9277.534623,4,0
3417.262,2025-12-16 10:33:05.053,-11389.732531,5,0
3417.264,2025-12-16 10:33:05.055,-13845.443932,6,0
3417.266,2025-12-16 10:33:05.057,-13131.523328,7,0
